# argv: /bin/ps -Ao pid,ppid,rss,%cpu,state,comm
# exit: 0
# at:   2026-08-24T12:51:22.075Z
#
  PID  PPID    RSS  %CPU STAT COMM
  754     1   5840   0.0 S    /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  755     1  55328   0.0 S    /usr/libexec/studentd
  756     1 257568   0.0 S    /System/Library/CoreServices/talagentd
  757     1  44672   0.0 S    /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  758     1 316368   0.0 S    /Applications/Kiro.app/Contents/MacOS/Electron
  759     1  21328   0.0 S    /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  760     1  37408   0.0 S    /usr/libexec/transparencyd
  762     1  15712   6.5 S    /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  763     1  22912   0.0 S    /System/Library/PrivateFrameworks/GeoServices.framework/Versions/A/XPCServices/com.apple.geod.xpc/Contents/MacOS/com.apple.geod
  764     1   6096   0.0 S    /usr/libexec/mobilerepaird
  765     1  60608   0.0 S    /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
  766     1  91984   0.0 S    /System/Library/PrivateFrameworks/VoiceShortcuts.framework/Versions/A/Support/siriactionsd
  767     1  11216   0.0 Ss   /usr/libexec/countryd
  769     1  20608   0.0 S    /usr/libexec/triald
  770     1  14048   0.0 S    /usr/libexec/diagnosticextensionsd
  771     1  23872   0.0 S    /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
  772     1  68272   0.0 S    /System/Library/PrivateFrameworks/SiriInference.framework/Versions/A/siriinferenced
  773     1 899952   8.9 S    /Applications/Cursor.app/Contents/MacOS/Cursor
  774     1  25664   0.0 S    /usr/libexec/findmylocateagent
